source,target,weight
Dansk Folkeparti - Nicolai Estrup,nyheder.tv2.dk,2
Dansk Folkeparti - Nicolai Estrup,politiken.dk,1
Dansk Folkeparti - Thisted Kommune,facebook,2
Dansk Folkeparti - Thisted Kommune,nan,2
Dansk Folkeparti Fredensborg,danskfolkeparti.dk,1
Dansk Folkeparti Fredensborg,dr.dk,1
Dansk Folkeparti Fredensborg,facebook,4
Dansk Folkeparti Fredensborg,jyllands-posten.dk,1
Dansk Folkeparti Fredensborg,nan,2
Dansk Folkeparti Fredensborg,weekendavisen.dk,1
Dansk Folkeparti Fredensborg debatten,danskfolkeparti.dk,1
Dansk Folkeparti Frederiksberg,nan,1
Dansk Folkeparti Frederikshavn - Frederikshavn kommune,ditoverblik.dk,1
Dansk Folkeparti Frederikshavn - Frederikshavn kommune,facebook,2
Dansk Folkeparti Frederikshavn - Frederikshavn kommune,jyllands-posten.dk,1
Dansk Folkeparti Gentofte,berlingske.dk,2
Dansk Folkeparti Gentofte,bt.dk,2
Dansk Folkeparti Gentofte,ditoverblik.dk,1
Dansk Folkeparti Gentofte,dr.dk,1
Dansk Folkeparti Gentofte,ekstrabladet.dk,1
Dansk Folkeparti Gentofte,facebook,3
Dansk Folkeparti Gentofte,nan,5
Dansk Folkeparti Gentofte,nyheder.tv2.dk,1
Dansk Folkeparti Guldborgsund,ditoverblik.dk,8
Dansk Folkeparti Guldborgsund,facebook,1
Dansk Folkeparti Hedensted,ditoverblik.dk,1
Dansk Folkeparti Horsens,bt.dk,1
Dansk Folkeparti Horsens,ditoverblik.dk,5
Dansk Folkeparti Horsens,facebook,1
Dansk Folkeparti Middelfart,180grader.dk,1
Dansk Folkeparti Middelfart,denkorteavis.dk,1
Dansk Folkeparti Middelfart,nan,3
Dansk Folkeparti Odder,berlingske.dk,3
Dansk Folkeparti Odder,folkets.dk,1
Dansk Folkeparti Odder,jv.dk,1
Dansk Folkeparti Odder,kristeligt-dagblad.dk,1
Dansk Folkeparti Odder,nan,1
Dansk Folkeparti Odense,ditoverblik.dk,1
Dansk Folkeparti Odense,facebook,2
Dansk Folkeparti Odense,nan,3
Dansk Folkeparti Odense,politiken.dk,1
Dansk Folkeparti Randers,facebook,2
Dansk Folkeparti Randers,nan,2
